customer_id,年月,count_pred,count_0,count_1,count_2,count_3,count_4,count_5,start_date,now_date,period
IK190403,201810,2,5.0,3.0,4.0,8.0,8.0,6.0,2018-04-07,2018-10-01,5
IK403801,201810,3,6.0,2.0,3.0,7.0,5.0,8.0,2018-04-05,2018-10-01,5
IK407687,201810,3,3.0,3.0,7.0,7.0,6.0,6.0,2018-04-03,2018-10-01,5
IK429268,201810,6,7.0,10.0,7.0,8.0,9.0,7.0,2018-04-06,2018-10-01,5
IK430848,201810,2,3.0,2.0,4.0,7.0,7.0,7.0,2018-04-14,2018-10-01,5
IK491887,201810,2,3.0,5.0,6.0,7.0,7.0,9.0,2018-04-08,2018-10-01,5
IK584824,201810,8,8.0,5.0,7.0,8.0,9.0,5.0,2018-04-08,2018-10-01,5
IK642724,201810,5,3.0,2.0,9.0,8.0,9.0,5.0,2018-04-15,2018-10-01,5
IK654848,201810,2,5.0,2.0,3.0,6.0,7.0,6.0,2018-04-04,2018-10-01,5
IK679682,201810,6,3.0,4.0,5.0,5.0,7.0,7.0,2018-04-05,2018-10-01,5
IK697935,201810,2,4.0,4.0,6.0,7.0,7.0,8.0,2018-04-09,2018-10-01,5
IK704656,201810,6,8.0,8.0,8.0,9.0,6.0,6.0,2018-04-13,2018-10-01,5
IK761631,201810,3,1.0,5.0,4.0,7.0,5.0,7.0,2018-04-13,2018-10-01,5
IK782104,201810,6,8.0,4.0,5.0,7.0,9.0,7.0,2018-04-02,2018-10-01,5
IK884794,201810,3,4.0,4.0,5.0,6.0,8.0,6.0,2018-04-10,2018-10-01,5
IK988092,201810,3,5.0,5.0,7.0,7.0,5.0,10.0,2018-04-11,2018-10-01,5
OA004129,201810,6,9.0,8.0,8.0,8.0,10.0,9.0,2018-04-13,2018-10-01,5
OA057953,201810,9,8.0,7.0,8.0,9.0,9.0,6.0,2018-04-08,2018-10-01,5
OA245976,201810,5,2.0,3.0,2.0,5.0,7.0,5.0,2018-04-15,2018-10-01,5
OA396855,201810,4,2.0,5.0,4.0,6.0,8.0,7.0,2018-04-13,2018-10-01,5
OA405652,201810,4,4.0,4.0,6.0,4.0,8.0,8.0,2018-04-15,2018-10-01,5
OA472503,201810,5,3.0,1.0,9.0,8.0,6.0,8.0,2018-04-08,2018-10-01,5
OA484337,201810,4,7.0,3.0,4.0,7.0,10.0,8.0,2018-04-13,2018-10-01,5
OA546913,201810,4,3.0,5.0,5.0,9.0,9.0,8.0,2018-04-04,2018-10-01,5
OA663815,201810,5,4.0,2.0,4.0,6.0,5.0,9.0,2018-04-04,2018-10-01,5
OA680638,201810,1,6.0,6.0,4.0,5.0,8.0,9.0,2018-04-11,2018-10-01,5
OA694533,201810,9,7.0,6.0,8.0,8.0,10.0,9.0,2018-04-08,2018-10-01,5
OA710903,201810,2,5.0,7.0,7.0,4.0,9.0,8.0,2018-04-15,2018-10-01,5
OA761455,201810,4,2.0,3.0,4.0,6.0,8.0,8.0,2018-04-09,2018-10-01,5
OA897552,201810,1,2.0,1.0,5.0,5.0,8.0,9.0,2018-04-12,2018-10-01,5
OA973146,201810,6,4.0,2.0,3.0,5.0,6.0,7.0,2018-04-11,2018-10-01,5
PL012044,201810,6,9.0,8.0,9.0,8.0,7.0,9.0,2018-04-14,2018-10-01,5
PL064289,201810,5,5.0,1.0,2.0,5.0,4.0,7.0,2018-04-15,2018-10-01,5
PL227814,201810,7,9.0,6.0,9.0,10.0,7.0,9.0,2018-04-05,2018-10-01,5
PL248851,201810,5,5.0,7.0,9.0,6.0,8.0,10.0,2018-04-03,2018-10-01,5
PL302535,201810,9,8.0,6.0,7.0,10.0,12.0,9.0,2018-04-06,2018-10-01,5
PL379434,201810,1,1.0,3.0,5.0,3.0,7.0,8.0,2018-04-09,2018-10-01,5
PL542865,201810,4,5.0,3.0,4.0,3.0,3.0,6.0,2018-04-09,2018-10-01,5
PL683089,201810,3,2.0,4.0,5.0,5.0,7.0,9.0,2018-04-08,2018-10-01,5
PL745124,201810,3,3.0,1.0,3.0,4.0,5.0,7.0,2018-04-13,2018-10-01,5
PL849292,201810,3,4.0,6.0,6.0,6.0,8.0,8.0,2018-04-14,2018-10-01,5
PL969360,201810,8,6.0,6.0,9.0,8.0,7.0,8.0,2018-04-11,2018-10-01,5
TS075183,201810,3,2.0,5.0,5.0,4.0,5.0,8.0,2018-04-12,2018-10-01,5
TS117409,201810,2,3.0,3.0,5.0,4.0,11.0,8.0,2018-04-08,2018-10-01,5
TS174464,201810,7,8.0,9.0,6.0,8.0,10.0,6.0,2018-04-11,2018-10-01,5
TS655367,201810,4,2.0,3.0,2.0,6.0,7.0,7.0,2018-04-05,2018-10-01,5
TS763203,201810,7,9.0,9.0,6.0,7.0,11.0,9.0,2018-04-13,2018-10-01,5
TS977703,201810,8,8.0,8.0,8.0,7.0,4.0,8.0,2018-04-15,2018-10-01,5
AS015233,201811,7,7.0,9.0,11.0,5.0,7.0,7.0,2018-05-13,2018-11-01,5
AS025956,201811,4,4.0,5.0,7.0,7.0,6.0,6.0,2018-05-09,2018-11-01,5
AS029624,201811,6,4.0,1.0,5.0,7.0,5.0,8.0,2018-05-08,2018-11-01,5
AS100947,201811,8,9.0,6.0,8.0,7.0,8.0,5.0,2018-05-12,2018-11-01,5
AS115149,201811,3,2.0,1.0,3.0,7.0,7.0,6.0,2018-05-11,2018-11-01,5
AS185951,201811,3,1.0,5.0,3.0,3.0,7.0,3.0,2018-04-09,2018-11-01,6
AS195052,201811,1,2.0,3.0,4.0,4.0,3.0,8.0,2018-05-12,2018-11-01,5
AS197200,201811,9,12.0,6.0,8.0,9.0,6.0,8.0,2018-04-15,2018-11-01,6
AS200286,201811,3,3.0,6.0,3.0,6.0,6.0,7.0,2018-04-06,2018-11-01,6
AS220726,201811,4,2.0,2.0,5.0,3.0,10.0,8.0,2018-05-12,2018-11-01,5
AS247467,201811,5,1.0,1.0,4.0,7.0,9.0,3.0,2018-05-01,2018-11-01,6
AS251169,201811,2,2.0,4.0,6.0,5.0,8.0,10.0,2018-04-03,2018-11-01,6
AS345469,201811,5,1.0,3.0,5.0,6.0,5.0,4.0,2018-04-12,2018-11-01,6
AS388908,201811,2,2.0,4.0,3.0,5.0,5.0,8.0,2018-05-11,2018-11-01,5
AS409779,201811,2,3.0,3.0,4.0,8.0,6.0,9.0,2018-05-13,2018-11-01,5
AS509237,201811,4,3.0,2.0,1.0,2.0,4.0,8.0,2018-04-06,2018-11-01,6
AS546422,201811,3,1.0,5.0,7.0,4.0,10.0,8.0,2018-04-10,2018-11-01,6
AS557018,201811,1,2.0,3.0,5.0,4.0,7.0,7.0,2018-05-06,2018-11-01,5
AS584134,201811,3,5.0,4.0,6.0,2.0,5.0,8.0,2018-05-05,2018-11-01,5
AS628722,201811,2,3.0,5.0,4.0,6.0,4.0,7.0,2018-04-15,2018-11-01,6
AS639549,201811,2,4.0,2.0,2.0,3.0,5.0,9.0,2018-04-15,2018-11-01,6
AS645809,201811,3,2.0,3.0,4.0,3.0,3.0,5.0,2018-04-06,2018-11-01,6
AS721170,201811,1,1.0,1.0,2.0,5.0,6.0,6.0,2018-04-12,2018-11-01,6
AS814353,201811,7,9.0,9.0,11.0,7.0,8.0,8.0,2018-05-05,2018-11-01,5
AS886872,201811,5,11.0,8.0,7.0,7.0,8.0,7.0,2018-04-12,2018-11-01,6
GD001932,201811,2,7.0,6.0,7.0,6.0,8.0,10.0,2018-05-04,2018-11-01,5
GD082530,201811,7,8.0,7.0,10.0,9.0,6.0,8.0,2018-05-13,2018-11-01,5
GD098851,201811,2,7.0,5.0,6.0,9.0,6.0,7.0,2018-04-12,2018-11-01,6
GD115456,201811,4,2.0,2.0,4.0,4.0,2.0,6.0,2018-04-05,2018-11-01,6
GD174951,201811,5,3.0,4.0,4.0,4.0,6.0,9.0,2018-04-14,2018-11-01,6
GD203795,201811,2,2.0,6.0,7.0,5.0,9.0,9.0,2018-05-09,2018-11-01,5
GD210507,201811,5,3.0,5.0,6.0,7.0,6.0,6.0,2018-04-11,2018-11-01,6
GD289362,201811,7,7.0,10.0,7.0,9.0,10.0,9.0,2018-05-04,2018-11-01,5
GD309433,201811,3,2.0,2.0,5.0,9.0,8.0,4.0,2018-05-13,2018-11-01,5
GD325851,201811,8,8.0,8.0,6.0,5.0,8.0,9.0,2018-04-13,2018-11-01,6
GD462507,201811,6,3.0,4.0,5.0,6.0,8.0,10.0,2018-05-02,2018-11-01,5
GD523289,201811,2,2.0,4.0,3.0,7.0,5.0,8.0,2018-05-15,2018-11-01,5
GD563242,201811,4,4.0,7.0,11.0,9.0,8.0,10.0,2018-04-05,2018-11-01,6
GD594854,201811,11,7.0,9.0,6.0,8.0,7.0,10.0,2018-05-15,2018-11-01,5
GD646501,201811,2,2.0,4.0,4.0,5.0,6.0,5.0,2018-04-12,2018-11-01,6
GD700354,201811,2,4.0,3.0,2.0,5.0,5.0,10.0,2018-05-05,2018-11-01,5
GD706415,201811,3,4.0,2.0,3.0,5.0,7.0,7.0,2018-05-05,2018-11-01,5
GD716223,201811,4,8.0,9.0,7.0,6.0,9.0,7.0,2018-04-15,2018-11-01,6
GD766769,201811,2,3.0,5.0,7.0,4.0,7.0,9.0,2018-05-09,2018-11-01,5
GD797764,201811,3,1.0,7.0,6.0,6.0,9.0,8.0,2018-05-02,2018-11-01,5
GD821903,201811,7,8.0,9.0,9.0,9.0,7.0,11.0,2018-05-11,2018-11-01,5
GD862688,201811,8,7.0,9.0,9.0,6.0,10.0,8.0,2018-05-08,2018-11-01,5
GD892565,201811,5,8.0,8.0,9.0,7.0,10.0,9.0,2018-05-02,2018-11-01,5
GD913324,201811,5,8.0,6.0,7.0,10.0,7.0,11.0,2018-05-05,2018-11-01,5
GD931906,201811,4,1.0,5.0,6.0,4.0,9.0,10.0,2018-05-04,2018-11-01,5
HD032015,201811,2,4.0,4.0,5.0,6.0,8.0,10.0,2018-04-14,2018-11-01,6
HD069655,201811,3,3.0,5.0,3.0,7.0,4.0,5.0,2018-04-15,2018-11-01,6
HD104614,201811,2,3.0,4.0,5.0,3.0,6.0,8.0,2018-04-15,2018-11-01,6
HD146199,201811,10,9.0,7.0,7.0,8.0,9.0,9.0,2018-04-09,2018-11-01,6
HD187665,201811,8,8.0,6.0,7.0,8.0,6.0,8.0,2018-05-15,2018-11-01,5
HD218970,201811,3,3.0,4.0,4.0,4.0,5.0,7.0,2018-04-02,2018-11-01,6
HD221159,201811,4,5.0,2.0,5.0,3.0,5.0,6.0,2018-05-06,2018-11-01,5
HD295608,201811,3,3.0,1.0,4.0,3.0,4.0,8.0,2018-04-11,2018-11-01,6
HD351145,201811,3,4.0,3.0,2.0,4.0,5.0,6.0,2018-04-04,2018-11-01,6
HD384128,201811,6,9.0,9.0,7.0,9.0,9.0,8.0,2018-05-02,2018-11-01,5
HD402002,201811,10,6.0,7.0,10.0,12.0,9.0,6.0,2018-04-13,2018-11-01,6
HD426886,201811,9,7.0,9.0,11.0,8.0,8.0,8.0,2018-04-05,2018-11-01,6
HD443173,201811,3,3.0,5.0,2.0,3.0,5.0,9.0,2018-05-14,2018-11-01,5
HD459890,201811,3,3.0,2.0,3.0,6.0,5.0,9.0,2018-05-11,2018-11-01,5
HD487220,201811,9,7.0,10.0,9.0,8.0,7.0,9.0,2018-05-11,2018-11-01,5
HD523855,201811,4,4.0,6.0,5.0,7.0,8.0,7.0,2018-04-04,2018-11-01,6
HD571515,201811,2,2.0,5.0,5.0,7.0,8.0,9.0,2018-04-15,2018-11-01,6
HD580454,201811,6,7.0,5.0,11.0,10.0,9.0,7.0,2018-04-05,2018-11-01,6
HD634523,201811,1,1.0,1.0,5.0,6.0,7.0,6.0,2018-04-13,2018-11-01,6
HD677310,201811,2,4.0,4.0,4.0,3.0,6.0,4.0,2018-04-09,2018-11-01,6
HD707253,201811,6,5.0,9.0,6.0,8.0,9.0,10.0,2018-05-06,2018-11-01,5
HD736119,201811,7,4.0,5.0,7.0,9.0,9.0,8.0,2018-05-10,2018-11-01,5
HD743673,201811,3,2.0,3.0,1.0,6.0,7.0,7.0,2018-05-14,2018-11-01,5
HD747321,201811,4,7.0,4.0,6.0,6.0,9.0,8.0,2018-05-09,2018-11-01,5
HD805503,201811,7,7.0,7.0,5.0,8.0,7.0,9.0,2018-05-01,2018-11-01,6
HD814444,201811,7,9.0,6.0,6.0,10.0,6.0,8.0,2018-04-04,2018-11-01,6
HD944406,201811,1,7.0,2.0,5.0,5.0,8.0,10.0,2018-05-11,2018-11-01,5
HD981197,201811,1,4.0,3.0,3.0,6.0,7.0,7.0,2018-04-15,2018-11-01,6
HI013029,201811,9,6.0,8.0,7.0,9.0,10.0,8.0,2018-05-10,2018-11-01,5
HI058807,201811,8,6.0,5.0,9.0,10.0,8.0,10.0,2018-05-02,2018-11-01,5
HI103175,201811,7,8.0,8.0,7.0,8.0,10.0,7.0,2018-05-15,2018-11-01,5
HI140097,201811,1,5.0,4.0,5.0,6.0,8.0,7.0,2018-04-07,2018-11-01,6
HI181507,201811,2,2.0,2.0,2.0,1.0,7.0,8.0,2018-05-11,2018-11-01,5
HI214680,201811,1,2.0,4.0,7.0,5.0,8.0,9.0,2018-05-08,2018-11-01,5
HI302801,201811,4,2.0,1.0,4.0,3.0,8.0,9.0,2018-04-05,2018-11-01,6
HI331377,201811,9,9.0,7.0,8.0,8.0,7.0,7.0,2018-04-11,2018-11-01,6
HI367242,201811,7,6.0,8.0,7.0,8.0,9.0,10.0,2018-04-07,2018-11-01,6
HI368031,201811,10,9.0,8.0,3.0,8.0,8.0,8.0,2018-04-03,2018-11-01,6
HI372505,201811,5,8.0,3.0,4.0,7.0,7.0,10.0,2018-05-01,2018-11-01,6
HI402688,201811,2,3.0,6.0,6.0,5.0,6.0,7.0,2018-04-12,2018-11-01,6
HI446535,201811,2,8.0,7.0,6.0,7.0,7.0,6.0,2018-05-05,2018-11-01,5
HI474778,201811,6,6.0,7.0,9.0,5.0,10.0,8.0,2018-05-04,2018-11-01,5
HI562740,201811,7,10.0,9.0,7.0,6.0,7.0,8.0,2018-05-06,2018-11-01,5
HI570258,201811,4,2.0,4.0,2.0,5.0,5.0,6.0,2018-04-11,2018-11-01,6
HI575026,201811,8,7.0,7.0,8.0,6.0,9.0,10.0,2018-05-05,2018-11-01,5
HI596179,201811,1,1.0,4.0,3.0,3.0,4.0,5.0,2018-04-06,2018-11-01,6
HI599889,201811,8,8.0,6.0,8.0,6.0,8.0,6.0,2018-04-13,2018-11-01,6
HI606358,201811,1,6.0,5.0,1.0,3.0,4.0,8.0,2018-04-14,2018-11-01,6
HI630247,201811,9,7.0,6.0,8.0,9.0,10.0,8.0,2018-05-01,2018-11-01,6
HI732386,201811,3,4.0,4.0,7.0,6.0,5.0,10.0,2018-05-13,2018-11-01,5
HI823009,201811,4,1.0,4.0,2.0,2.0,7.0,7.0,2018-05-09,2018-11-01,5
HI841207,201811,2,3.0,2.0,3.0,7.0,9.0,6.0,2018-05-15,2018-11-01,5
HI866614,201811,8,8.0,8.0,7.0,8.0,9.0,11.0,2018-05-01,2018-11-01,6
IK000432,201811,3,5.0,4.0,7.0,8.0,11.0,6.0,2018-05-01,2018-11-01,6
IK009011,201811,1,3.0,6.0,6.0,8.0,7.0,9.0,2018-05-11,2018-11-01,5
IK026319,201811,3,4.0,5.0,6.0,7.0,5.0,8.0,2018-05-13,2018-11-01,5
IK042838,201811,9,10.0,8.0,7.0,6.0,7.0,9.0,2018-04-04,2018-11-01,6
IK044135,201811,4,4.0,4.0,6.0,7.0,8.0,8.0,2018-05-13,2018-11-01,5
IK056231,201811,2,1.0,4.0,1.0,4.0,7.0,9.0,2018-05-01,2018-11-01,6
IK082424,201811,3,4.0,5.0,7.0,7.0,7.0,9.0,2018-04-14,2018-11-01,6
IK190403,201811,7,2.0,5.0,3.0,4.0,8.0,8.0,2018-04-07,2018-11-01,6
IK234815,201811,7,5.0,7.0,7.0,9.0,7.0,7.0,2018-05-12,2018-11-01,5
IK266585,201811,8,11.0,11.0,8.0,8.0,9.0,7.0,2018-05-14,2018-11-01,5
IK311371,201811,3,1.0,5.0,6.0,10.0,7.0,10.0,2018-05-12,2018-11-01,5
IK356680,201811,8,10.0,9.0,9.0,8.0,10.0,11.0,2018-05-02,2018-11-01,5
IK403801,201811,5,3.0,6.0,2.0,3.0,7.0,5.0,2018-04-05,2018-11-01,6
IK407687,201811,1,3.0,3.0,3.0,7.0,7.0,6.0,2018-04-03,2018-11-01,6
IK429268,201811,6,6.0,7.0,10.0,7.0,8.0,9.0,2018-04-06,2018-11-01,6
IK491887,201811,5,2.0,3.0,5.0,6.0,7.0,7.0,2018-04-08,2018-11-01,6
IK575241,201811,3,4.0,4.0,6.0,5.0,6.0,5.0,2018-05-04,2018-11-01,5
IK584824,201811,12,8.0,8.0,5.0,7.0,8.0,9.0,2018-04-08,2018-11-01,6
IK611614,201811,9,8.0,8.0,7.0,7.0,7.0,11.0,2018-05-09,2018-11-01,5
IK624245,201811,4,2.0,2.0,2.0,7.0,7.0,8.0,2018-05-13,2018-11-01,5
IK642724,201811,7,5.0,3.0,2.0,9.0,8.0,9.0,2018-04-15,2018-11-01,6
IK654848,201811,2,2.0,5.0,2.0,3.0,6.0,7.0,2018-04-04,2018-11-01,6
IK660380,201811,5,7.0,1.0,5.0,6.0,7.0,7.0,2018-05-10,2018-11-01,5
IK679682,201811,1,6.0,3.0,4.0,5.0,5.0,7.0,2018-04-05,2018-11-01,6
IK697935,201811,5,2.0,4.0,4.0,6.0,7.0,7.0,2018-04-09,2018-11-01,6
IK704656,201811,8,6.0,8.0,8.0,8.0,9.0,6.0,2018-04-13,2018-11-01,6
IK710780,201811,1,5.0,1.0,3.0,3.0,6.0,8.0,2018-05-09,2018-11-01,5
IK714626,201811,1,5.0,4.0,4.0,6.0,6.0,8.0,2018-05-05,2018-11-01,5
IK761631,201811,2,3.0,1.0,5.0,4.0,7.0,5.0,2018-04-13,2018-11-01,6
IK782104,201811,5,6.0,8.0,4.0,5.0,7.0,9.0,2018-04-02,2018-11-01,6
IK802877,201811,8,6.0,9.0,8.0,11.0,8.0,9.0,2018-05-04,2018-11-01,5
IK862574,201811,2,5.0,5.0,5.0,8.0,8.0,6.0,2018-05-06,2018-11-01,5
IK899587,201811,2,1.0,6.0,6.0,8.0,5.0,9.0,2018-05-05,2018-11-01,5
IK988092,201811,1,3.0,5.0,5.0,7.0,7.0,5.0,2018-04-11,2018-11-01,6
OA004129,201811,8,6.0,9.0,8.0,8.0,8.0,10.0,2018-04-13,2018-11-01,6
OA057953,201811,8,9.0,8.0,7.0,8.0,9.0,9.0,2018-04-08,2018-11-01,6
OA058104,201811,7,8.0,7.0,10.0,6.0,9.0,11.0,2018-05-07,2018-11-01,5
OA068305,201811,3,2.0,4.0,4.0,6.0,7.0,10.0,2018-05-11,2018-11-01,5
OA086620,201811,9,8.0,8.0,11.0,7.0,11.0,9.0,2018-05-05,2018-11-01,5
OA100873,201811,8,8.0,11.0,10.0,7.0,8.0,10.0,2018-05-10,2018-11-01,5
OA126055,201811,2,6.0,5.0,4.0,9.0,9.0,8.0,2018-05-14,2018-11-01,5
OA211420,201811,4,2.0,5.0,7.0,4.0,6.0,7.0,2018-05-03,2018-11-01,5
OA245976,201811,3,5.0,2.0,3.0,2.0,5.0,7.0,2018-04-15,2018-11-01,6
OA247479,201811,5,3.0,3.0,1.0,5.0,7.0,12.0,2018-05-07,2018-11-01,5
OA268998,201811,3,3.0,3.0,5.0,5.0,6.0,10.0,2018-05-10,2018-11-01,5
OA396855,201811,2,4.0,2.0,5.0,4.0,6.0,8.0,2018-04-13,2018-11-01,6
OA397694,201811,4,2.0,6.0,3.0,6.0,7.0,8.0,2018-05-13,2018-11-01,5
OA402491,201811,3,4.0,3.0,6.0,6.0,8.0,9.0,2018-05-06,2018-11-01,5
OA405652,201811,2,4.0,4.0,4.0,6.0,4.0,8.0,2018-04-15,2018-11-01,6
OA441503,201811,4,3.0,2.0,6.0,7.0,8.0,10.0,2018-05-12,2018-11-01,5
OA472503,201811,6,5.0,3.0,1.0,9.0,8.0,6.0,2018-04-08,2018-11-01,6
OA484337,201811,5,4.0,7.0,3.0,4.0,7.0,10.0,2018-04-13,2018-11-01,6
OA546913,201811,5,4.0,3.0,5.0,5.0,9.0,9.0,2018-04-04,2018-11-01,6
OA567940,201811,4,4.0,4.0,4.0,6.0,6.0,6.0,2018-05-07,2018-11-01,5
OA578672,201811,6,10.0,9.0,9.0,9.0,10.0,6.0,2018-05-11,2018-11-01,5
OA594481,201811,3,4.0,1.0,4.0,5.0,7.0,5.0,2018-05-10,2018-11-01,5
OA653002,201811,4,3.0,5.0,6.0,10.0,6.0,12.0,2018-05-12,2018-11-01,5
OA660152,201811,4,7.0,9.0,10.0,9.0,9.0,9.0,2018-05-10,2018-11-01,5
OA663815,201811,3,5.0,4.0,2.0,4.0,6.0,5.0,2018-04-04,2018-11-01,6
OA680638,201811,2,1.0,6.0,6.0,4.0,5.0,8.0,2018-04-11,2018-11-01,6
OA694533,201811,7,9.0,7.0,6.0,8.0,8.0,10.0,2018-04-08,2018-11-01,6
OA695959,201811,1,3.0,7.0,6.0,5.0,8.0,6.0,2018-05-04,2018-11-01,5
OA710903,201811,4,2.0,5.0,7.0,7.0,4.0,9.0,2018-04-15,2018-11-01,6
OA761455,201811,4,4.0,2.0,3.0,4.0,6.0,8.0,2018-04-09,2018-11-01,6
OA777947,201811,2,5.0,3.0,1.0,3.0,3.0,7.0,2018-05-01,2018-11-01,6
OA794712,201811,6,8.0,7.0,10.0,7.0,10.0,11.0,2018-05-03,2018-11-01,5
OA802798,201811,5,6.0,9.0,9.0,6.0,9.0,9.0,2018-05-03,2018-11-01,5
OA850618,201811,2,3.0,2.0,4.0,4.0,5.0,9.0,2018-05-10,2018-11-01,5
OA923186,201811,4,3.0,4.0,3.0,4.0,5.0,8.0,2018-05-08,2018-11-01,5
OA973146,201811,6,6.0,4.0,2.0,3.0,5.0,6.0,2018-04-11,2018-11-01,6
