customer_id,routine_flg,name,class,gender,start_date,end_date,campaign_id,is_deleted,campaign_name,class_name,price,customer_start,customer_end,mean,median,max,min,tmp_customer_end,membership_period
AS174345,1,XXXXXX,C01,M,2017-04-01 00:00:00,2018-12-31 00:00:00,CA1,1,通常,オールタイム,10500,2017-04-01,2018-12-31,3.7777777777777777,4.0,6,2,2018-12-31,20
AS175707,1,XXXX,C02,F,2017-04-01 00:00:00,,CA1,0,通常,デイタイム,7500,2017-04-01,,6.0,6.0,10,3,2019-04-30,24
AS176615,1,XX,C01,M,2018-09-07 00:00:00,2019-02-28 00:00:00,CA1,1,通常,オールタイム,10500,2018-09-07,2019-02-28,4.666666666666667,3.0,10,2,2019-02-28,5
AS177253,0,XX,C02,F,2017-08-01 00:00:00,2018-04-30 00:00:00,CA2,1,入会費半額,デイタイム,7500,2017-08-01,2018-04-30,4.0,4.0,4,4,2018-04-30,8
AS182308,1,XXX,C03,M,2018-12-10 00:00:00,,CA3,0,入会費無料,ナイト,6000,2018-12-10,,9.0,9.5,10,7,2019-04-30,4
AS183155,1,XXXXX,C03,F,2015-05-01 00:00:00,,CA1,0,通常,ナイト,6000,2015-05-01,,4.5,4.5,7,2,2019-04-30,47
AS185951,0,XXXX,C02,F,2018-04-09 00:00:00,2019-01-31 00:00:00,CA3,1,入会費無料,デイタイム,7500,2018-04-09,2019-01-31,3.8,3.0,10,1,2019-01-31,9
AS186727,1,XXXXX,C03,M,2017-03-01 00:00:00,,CA1,0,通常,ナイト,6000,2017-03-01,,5.083333333333333,5.0,8,3,2019-04-30,25
AS189336,0,XXXXX,C02,F,2018-03-01 00:00:00,2018-08-31 00:00:00,CA1,1,通常,デイタイム,7500,2018-03-01,2018-08-31,3.2,2.0,7,1,2018-08-31,5
AS190883,1,XXXXX,C03,M,2017-04-01 00:00:00,,CA1,0,通常,ナイト,6000,2017-04-01,,5.833333333333333,6.0,8,5,2019-04-30,24
AS192901,1,XXX,C02,F,2019-02-13 00:00:00,,CA1,0,通常,デイタイム,7500,2019-02-13,,9.0,9.0,11,7,2019-04-30,2
AS193568,1,XXXXX,C01,F,2018-02-01 00:00:00,,CA1,0,通常,オールタイム,10500,2018-02-01,,6.583333333333333,7.0,10,3,2019-04-30,14
AS194595,1,XXXX,C02,F,2017-03-01 00:00:00,,CA1,0,通常,デイタイム,7500,2017-03-01,,5.166666666666667,5.0,7,2,2019-04-30,25
AS194818,1,XXXXX,C02,F,2019-01-05 00:00:00,2019-03-31 00:00:00,CA1,1,通常,デイタイム,7500,2019-01-05,2019-03-31,4.333333333333333,4.0,8,1,2019-03-31,2
AS195052,1,XXXXX,C02,M,2018-05-12 00:00:00,2018-11-30 00:00:00,CA2,1,入会費半額,デイタイム,7500,2018-05-12,2018-11-30,3.5714285714285716,3.0,8,1,2018-11-30,6
AS196653,1,XXXXX,C01,F,2017-01-01 00:00:00,,CA1,0,通常,オールタイム,10500,2017-01-01,,5.333333333333333,5.0,9,3,2019-04-30,27
AS197200,1,XXXX,C03,M,2018-04-15 00:00:00,,CA3,0,入会費無料,ナイト,6000,2018-04-15,,8.25,8.0,12,6,2019-04-30,12
AS200286,1,XXXX,C01,F,2018-04-06 00:00:00,2019-01-31 00:00:00,CA3,1,入会費無料,オールタイム,10500,2018-04-06,2019-01-31,4.9,5.0,10,1,2019-01-31,9
AS206541,1,XXXX,C03,M,2018-01-01 00:00:00,2018-05-31 00:00:00,CA1,1,通常,ナイト,6000,2018-01-01,2018-05-31,2.5,2.5,4,1,2018-05-31,4
AS207011,1,XXXX,C02,F,2017-02-01 00:00:00,,CA1,0,通常,デイタイム,7500,2017-02-01,,5.333333333333333,5.5,8,3,2019-04-30,26
AS210576,0,XXXXX,C02,F,2018-07-01 00:00:00,2019-02-28 00:00:00,CA1,1,通常,デイタイム,7500,2018-07-01,2019-02-28,4.0,4.0,6,2,2019-02-28,7
AS210846,0,XXXXX,C03,M,2018-01-01 00:00:00,2019-01-31 00:00:00,CA1,1,通常,ナイト,6000,2018-01-01,2019-01-31,3.7,4.0,6,1,2019-01-31,12
AS211303,1,XX,C02,F,2018-08-12 00:00:00,,CA1,0,通常,デイタイム,7500,2018-08-12,,8.0,7.5,11,6,2019-04-30,8
AS211705,1,XXX,C03,M,2015-10-01 00:00:00,,CA1,0,通常,ナイト,6000,2015-10-01,,5.166666666666667,6.0,7,1,2019-04-30,42
AS211927,1,XXXXX,C02,M,2016-03-01 00:00:00,,CA1,0,通常,デイタイム,7500,2016-03-01,,4.75,4.0,8,3,2019-04-30,37
AS212132,0,XXX,C01,F,2018-06-07 00:00:00,2019-02-28 00:00:00,CA2,1,入会費半額,オールタイム,10500,2018-06-07,2019-02-28,3.5555555555555554,3.0,7,1,2019-02-28,8
AS212221,1,XX,C03,M,2017-07-01 00:00:00,,CA2,0,入会費半額,ナイト,6000,2017-07-01,,5.833333333333333,6.0,9,2,2019-04-30,21
AS217722,1,XXX,C01,M,2018-06-10 00:00:00,,CA2,0,入会費半額,オールタイム,10500,2018-06-10,,7.3,7.0,11,6,2019-04-30,10
AS218636,1,XXXXXX,C01,M,2016-05-01 00:00:00,,CA1,0,通常,オールタイム,10500,2016-05-01,,5.666666666666667,5.5,8,4,2019-04-30,35
AS220726,0,XXX,C01,M,2018-05-12 00:00:00,2019-01-31 00:00:00,CA2,1,入会費半額,オールタイム,10500,2018-05-12,2019-01-31,4.333333333333333,3.0,10,2,2019-01-31,8
AS220894,1,XX,C01,M,2018-01-01 00:00:00,2018-12-31 00:00:00,CA1,1,通常,オールタイム,10500,2018-01-01,2018-12-31,3.7777777777777777,4.0,7,1,2018-12-31,11
AS222240,0,XXXX,C03,F,2018-02-01 00:00:00,2018-04-30 00:00:00,CA1,1,通常,ナイト,6000,2018-02-01,2018-04-30,8.0,8.0,8,8,2018-04-30,2
AS227898,1,XXXX,C02,M,2015-11-01 00:00:00,,CA1,0,通常,デイタイム,7500,2015-11-01,,4.416666666666667,4.5,7,2,2019-04-30,41
AS235724,1,XXX,C01,M,2017-12-01 00:00:00,,CA3,0,入会費無料,オールタイム,10500,2017-12-01,,7.25,7.5,10,4,2019-04-30,16
AS236198,1,XX,C01,M,2019-02-06 00:00:00,,CA1,0,通常,オールタイム,10500,2019-02-06,,9.0,9.0,12,6,2019-04-30,2
AS237205,1,XX,C01,M,2017-10-01 00:00:00,,CA1,0,通常,オールタイム,10500,2017-10-01,,6.416666666666667,7.0,9,3,2019-04-30,18
AS240190,1,XX,C01,F,2016-03-01 00:00:00,,CA1,0,通常,オールタイム,10500,2016-03-01,,5.0,5.0,8,2,2019-04-30,37
AS240586,1,XXX,C03,M,2016-08-01 00:00:00,,CA1,0,通常,ナイト,6000,2016-08-01,,5.583333333333333,5.5,10,3,2019-04-30,32
AS247467,0,XXXX,C01,M,2018-05-01 00:00:00,2018-11-30 00:00:00,CA2,1,入会費半額,オールタイム,10500,2018-05-01,2018-11-30,4.285714285714286,4.0,9,1,2018-11-30,6
AS248090,1,XXXXX,C02,M,2016-08-01 00:00:00,,CA1,0,通常,デイタイム,7500,2016-08-01,,5.083333333333333,5.0,7,3,2019-04-30,32
AS248948,1,XXXX,C03,F,2016-07-01 00:00:00,,CA2,0,入会費半額,ナイト,6000,2016-07-01,,5.0,5.5,7,1,2019-04-30,33
AS251112,1,XX,C01,M,2016-04-01 00:00:00,,CA1,0,通常,オールタイム,10500,2016-04-01,,4.666666666666667,5.0,6,3,2019-04-30,36
AS251169,1,XXXXX,C01,F,2018-04-03 00:00:00,2019-01-31 00:00:00,CA3,1,入会費無料,オールタイム,10500,2018-04-03,2019-01-31,5.2,5.0,10,2,2019-01-31,9
AS251921,0,XXXX,C03,M,2018-07-12 00:00:00,2018-09-30 00:00:00,CA1,1,通常,ナイト,6000,2018-07-12,2018-09-30,5.0,4.0,10,1,2018-09-30,2
AS256239,1,XX,C03,F,2016-06-01 00:00:00,,CA1,0,通常,ナイト,6000,2016-06-01,,4.333333333333333,4.5,6,2,2019-04-30,34
AS258098,1,XX,C01,M,2015-10-01 00:00:00,,CA1,0,通常,オールタイム,10500,2015-10-01,,3.9166666666666665,4.0,6,2,2019-04-30,42
AS259792,0,XXXXX,C01,M,2017-08-01 00:00:00,2018-07-31 00:00:00,CA2,1,入会費半額,オールタイム,10500,2017-08-01,2018-07-31,3.5,4.0,5,1,2018-07-31,11
AS263080,0,XXXXX,C03,M,2017-07-01 00:00:00,2018-04-30 00:00:00,CA2,1,入会費半額,ナイト,6000,2017-07-01,2018-04-30,4.0,4.0,4,4,2018-04-30,9
AS265381,1,XXXXX,C01,M,2018-12-04 00:00:00,,CA3,0,入会費無料,オールタイム,10500,2018-12-04,,9.0,9.5,10,7,2019-04-30,4
AS271899,0,XXXX,C01,M,2018-09-10 00:00:00,2018-10-31 00:00:00,CA1,1,通常,オールタイム,10500,2018-09-10,2018-10-31,5.0,5.0,8,2,2018-10-31,1
AS272193,1,XXXXX,C01,M,2017-06-01 00:00:00,,CA1,0,通常,オールタイム,10500,2017-06-01,,5.583333333333333,5.5,9,3,2019-04-30,22
AS273321,0,XXXXX,C03,M,2018-09-01 00:00:00,2018-11-30 00:00:00,CA1,1,通常,ナイト,6000,2018-09-01,2018-11-30,4.333333333333333,4.0,7,2,2018-11-30,2
AS273414,1,XXXX,C01,F,2016-05-01 00:00:00,,CA1,0,通常,オールタイム,10500,2016-05-01,,4.5,4.5,8,2,2019-04-30,35
AS275166,1,XXXX,C01,M,2015-10-01 00:00:00,,CA1,0,通常,オールタイム,10500,2015-10-01,,3.5,3.0,6,1,2019-04-30,42
AS275287,1,XXX,C03,M,2015-12-01 00:00:00,,CA1,0,通常,ナイト,6000,2015-12-01,,4.083333333333333,4.5,6,1,2019-04-30,40
AS275753,1,XXXXX,C03,M,2017-02-01 00:00:00,,CA1,0,通常,ナイト,6000,2017-02-01,,4.75,4.5,7,3,2019-04-30,26
AS279781,1,XXXXXX,C01,M,2019-01-06 00:00:00,,CA1,0,通常,オールタイム,10500,2019-01-06,,6.0,6.0,8,4,2019-04-30,3
AS280744,1,XXX,C02,M,2016-10-01 00:00:00,2018-09-30 00:00:00,CA1,1,通常,デイタイム,7500,2016-10-01,2018-09-30,3.5,4.0,4,1,2018-09-30,23
AS280807,1,XXXX,C03,M,2018-10-01 00:00:00,2018-12-31 00:00:00,CA1,1,通常,ナイト,6000,2018-10-01,2018-12-31,5.0,4.0,8,3,2018-12-31,2
AS280969,1,XXX,C01,M,2018-06-01 00:00:00,2018-11-30 00:00:00,CA2,1,入会費半額,オールタイム,10500,2018-06-01,2018-11-30,5.333333333333333,4.5,8,3,2018-11-30,5
AS282618,1,XXXXXX,C01,M,2016-12-01 00:00:00,,CA1,0,通常,オールタイム,10500,2016-12-01,,5.5,5.5,7,3,2019-04-30,28
AS285092,1,XXXX,C03,M,2019-01-13 00:00:00,2019-02-28 00:00:00,CA1,1,通常,ナイト,6000,2019-01-13,2019-02-28,9.0,9.0,12,6,2019-02-28,1
AS288237,1,XXXXX,C01,M,2019-02-13 00:00:00,,CA1,0,通常,オールタイム,10500,2019-02-13,,8.5,8.5,9,8,2019-04-30,2
AS288339,1,XXXXX,C03,F,2017-03-01 00:00:00,,CA1,0,通常,ナイト,6000,2017-03-01,,5.333333333333333,6.0,8,2,2019-04-30,25
AS288569,1,XXXXX,C02,F,2018-01-01 00:00:00,,CA1,0,通常,デイタイム,7500,2018-01-01,,6.916666666666667,7.0,9,4,2019-04-30,15
AS294655,1,XXXXXX,C02,M,2016-10-01 00:00:00,,CA1,0,通常,デイタイム,7500,2016-10-01,,4.75,4.0,8,2,2019-04-30,30
AS297966,1,XXXX,C02,F,2015-11-01 00:00:00,,CA1,0,通常,デイタイム,7500,2015-11-01,,5.25,5.0,8,2,2019-04-30,41
AS299544,1,XXXX,C01,M,2015-06-01 00:00:00,,CA1,0,通常,オールタイム,10500,2015-06-01,,4.083333333333333,4.0,6,2,2019-04-30,46
AS301190,1,XXXXX,C01,M,2018-08-04 00:00:00,2019-01-31 00:00:00,CA1,1,通常,オールタイム,10500,2018-08-04,2019-01-31,4.0,4.0,8,1,2019-01-31,5
AS303294,1,XXXX,C03,M,2017-04-01 00:00:00,,CA1,0,通常,ナイト,6000,2017-04-01,,4.916666666666667,5.0,8,2,2019-04-30,24
AS305652,1,XXXXX,C01,F,2018-02-01 00:00:00,2019-02-28 00:00:00,CA1,1,通常,オールタイム,10500,2018-02-01,2019-02-28,5.545454545454546,5.0,10,2,2019-02-28,12
AS305860,0,XXXX,C01,M,2017-06-01 00:00:00,2018-06-30 00:00:00,CA1,1,通常,オールタイム,10500,2017-06-01,2018-06-30,3.3333333333333335,3.0,5,2,2018-06-30,12
AS306340,1,XX,C01,M,2018-10-09 00:00:00,,CA1,0,通常,オールタイム,10500,2018-10-09,,8.833333333333334,10.0,11,5,2019-04-30,6
AS309101,1,XXXXX,C01,M,2015-10-01 00:00:00,,CA1,0,通常,オールタイム,10500,2015-10-01,,3.75,3.5,7,1,2019-04-30,42
AS310166,1,XXXXX,C02,F,2018-12-12 00:00:00,,CA3,0,入会費無料,デイタイム,7500,2018-12-12,,9.25,9.0,12,7,2019-04-30,4
AS310564,0,XXXXX,C02,F,2017-07-01 00:00:00,2018-04-30 00:00:00,CA2,1,入会費半額,デイタイム,7500,2017-07-01,2018-04-30,1.0,1.0,1,1,2018-04-30,9
AS311628,1,XXXX,C01,M,2016-12-01 00:00:00,,CA1,0,通常,オールタイム,10500,2016-12-01,,4.666666666666667,5.0,6,3,2019-04-30,28
